fecha_corte,vigencia,banco,operaciones,monto_usd,tco
2026-07-03,2026-07-06,BANCO PYME DE LA COMUNIDAD,3,64,9.80
2026-07-03,2026-07-06,BANCO PYME ECOFUTURO,5,3815,9.40
2026-07-03,2026-07-06,BANCO SOLIDARIO,22,802413,9.85
2026-07-03,2026-07-06,BANCO UNION,83,318733,9.80
2026-07-03,2026-07-06,TOTAL BANCOS,2048,22090693,9.83
2026-07-06,2026-07-07,BANCO BISA,55,3646488,9.88
2026-07-06,2026-07-07,BANCO DE CRÉDITO,12,1393544,9.93
2026-07-06,2026-07-07,BANCO DE LA NACIÓN ARGENTINA,30,17609,9.80
2026-07-06,2026-07-07,BANCO ECONÓMICO,28,1198507,9.89
2026-07-06,2026-07-07,BANCO FIE,17,15603,9.73
2026-07-06,2026-07-07,BANCO FORTALEZA,9,13299,9.76
2026-07-06,2026-07-07,BANCO GANADERO,562,1696172,9.71
2026-07-06,2026-07-07,BANCO MERCANTIL SANTA CRUZ,212,2540863,10.00
2026-07-06,2026-07-07,BANCO NACIONAL DE BOLIVIA,172,153596,9.80
2026-07-06,2026-07-07,BANCO PRODEM,9,4406,9.73
2026-07-06,2026-07-07,BANCO PYME DE LA COMUNIDAD,4,7049,9.83
2026-07-06,2026-07-07,BANCO PYME ECOFUTURO,3,47414,9.43
2026-07-06,2026-07-07,BANCO SOLIDARIO,34,962170,9.90
2026-07-06,2026-07-07,BANCO UNION,64,180125,9.83
2026-07-06,2026-07-07,TOTAL BANCOS,1211,11876844,9.89
2026-07-07,2026-07-08,BANCO BISA,65,5791895,9.97
2026-07-07,2026-07-08,BANCO DE CRÉDITO,20,818300,9.91
2026-07-07,2026-07-08,BANCO DE LA NACIÓN ARGENTINA,11,33464,9.82
2026-07-07,2026-07-08,BANCO ECONÓMICO,29,1336920,9.99
2026-07-07,2026-07-08,BANCO FIE,25,14763,9.79
2026-07-07,2026-07-08,BANCO FORTALEZA,2,200,9.89
2026-07-07,2026-07-08,BANCO GANADERO,545,6275603,9.95
2026-07-07,2026-07-08,BANCO MERCANTIL SANTA CRUZ,141,1041185,10.01
2026-07-07,2026-07-08,BANCO NACIONAL DE BOLIVIA,159,5858183,9.95
2026-07-07,2026-07-08,BANCO PRODEM,9,13867,9.79
2026-07-07,2026-07-08,BANCO PYME DE LA COMUNIDAD,1,2000,9.89
2026-07-07,2026-07-08,BANCO PYME ECOFUTURO,3,107,9.49
2026-07-07,2026-07-08,BANCO SOLIDARIO,20,2513272,9.97
2026-07-07,2026-07-08,BANCO UNION,79,159336,9.89
2026-07-07,2026-07-08,TOTAL BANCOS,1109,23859096,9.96
2026-07-08,2026-07-09,BANCO BISA,85,3680119,10.09
2026-07-08,2026-07-09,BANCO DE CRÉDITO,23,1264766,10.07
2026-07-08,2026-07-09,BANCO DE LA NACIÓN ARGENTINA,10,3320,9.86
2026-07-08,2026-07-09,BANCO ECONÓMICO,17,35333,9.92
2026-07-08,2026-07-09,BANCO FIE,22,12445,9.86
2026-07-08,2026-07-09,BANCO FORTALEZA,2,425000,10.07
2026-07-08,2026-07-09,BANCO GANADERO,290,6582110,10.04
2026-07-08,2026-07-09,BANCO MERCANTIL SANTA CRUZ,162,11639754,10.21
2026-07-08,2026-07-09,BANCO NACIONAL DE BOLIVIA,204,3606295,9.94
2026-07-08,2026-07-09,BANCO PRODEM,13,57246,9.86
2026-07-08,2026-07-09,BANCO PYME DE LA COMUNIDAD,3,1101,9.96
2026-07-08,2026-07-09,BANCO PYME ECOFUTURO,3,422,9.56
2026-07-08,2026-07-09,BANCO SOLIDARIO,36,1099352,10.06
2026-07-08,2026-07-09,BANCO UNION,68,47994,9.96
2026-07-08,2026-07-09,TOTAL BANCOS,938,28455257,10.10
2026-07-09,2026-07-10,BANCO BISA,50,3902015,10.23
2026-07-09,2026-07-10,BANCO DE CRÉDITO,54,5187313,10.26
2026-07-09,2026-07-10,BANCO DE LA NACIÓN ARGENTINA,8,2932,10.00
2026-07-09,2026-07-10,BANCO ECONÓMICO,37,724752,10.24
2026-07-09,2026-07-10,BANCO FIE,14,31651,10.00
2026-07-09,2026-07-10,BANCO FORTALEZA,2,1814,7.50
2026-07-09,2026-07-10,BANCO GANADERO,277,4104284,10.13
2026-07-09,2026-07-10,BANCO MERCANTIL SANTA CRUZ,133,9884451,10.28
2026-07-09,2026-07-10,BANCO NACIONAL DE BOLIVIA,214,3667634,10.14
2026-07-09,2026-07-10,BANCO PRODEM,15,70219,10.00
2026-07-09,2026-07-10,BANCO PYME DE LA COMUNIDAD,4,570,10.10
2026-07-09,2026-07-10,BANCO PYME ECOFUTURO,1,10,9.70
2026-07-09,2026-07-10,BANCO SOLIDARIO,41,2131145,10.38
2026-07-09,2026-07-10,BANCO UNION,80,59816,10.10
2026-07-09,2026-07-10,TOTAL BANCOS,930,29768606,10.24
2026-07-10,2026-07-13,BANCO BISA,91,8250425,10.38
2026-07-10,2026-07-13,BANCO DE CRÉDITO,34,5834653,10.57
2026-07-10,2026-07-13,BANCO DE LA NACIÓN ARGENTINA,16,5190,10.18
2026-07-10,2026-07-13,BANCO ECONÓMICO,30,3806369,10.54
2026-07-10,2026-07-13,BANCO FIE,11,4985,10.19
2026-07-10,2026-07-13,BANCO FORTALEZA,3,48871,10.27
2026-07-10,2026-07-13,BANCO GANADERO,246,3484965,10.30
2026-07-10,2026-07-13,BANCO MERCANTIL SANTA CRUZ,209,800634,10.33
2026-07-10,2026-07-13,BANCO NACIONAL DE BOLIVIA,225,10288924,10.24
2026-07-10,2026-07-13,BANCO PRODEM,9,3750,10.14
2026-07-10,2026-07-13,BANCO PYME DE LA COMUNIDAD,1,68,10.24
2026-07-10,2026-07-13,BANCO PYME ECOFUTURO,2,112,9.84
2026-07-10,2026-07-13,BANCO SOLIDARIO,37,4015518,10.57
2026-07-10,2026-07-13,BANCO UNION,80,339509,10.24
2026-07-10,2026-07-13,TOTAL BANCOS,994,36883973,10.40
2026-07-13,2026-07-14,BANCO BISA,48,2289085,10.53
2026-07-13,2026-07-14,BANCO DE CRÉDITO,82,256829,10.38
2026-07-13,2026-07-14,BANCO DE LA NACIÓN ARGENTINA,16,2526,10.35
2026-07-13,2026-07-14,BANCO ECONÓMICO,29,432291,10.53
2026-07-13,2026-07-14,BANCO FIE,23,398680,10.49
2026-07-13,2026-07-14,BANCO FORTALEZA,6,70,10.40
2026-07-13,2026-07-14,BANCO GANADERO,222,1560817,10.11
2026-07-13,2026-07-14,BANCO MERCANTIL SANTA CRUZ,193,3619878,10.66
2026-07-13,2026-07-14,BANCO NACIONAL DE BOLIVIA,242,442571,10.34
2026-07-13,2026-07-14,BANCO PRODEM,14,19587,10.30
2026-07-13,2026-07-14,BANCO PYME DE LA COMUNIDAD,1,252,10.40
2026-07-13,2026-07-14,BANCO PYME ECOFUTURO,2,99,10.00
2026-07-13,2026-07-14,BANCO SOLIDARIO,27,2250803,10.55
2026-07-13,2026-07-14,BANCO UNION,126,254558,10.40
2026-07-13,2026-07-14,TOTAL BANCOS,1031,11528045,10.50
2026-07-14,2026-07-15,BANCO BISA,44,11966870,10.59
2026-07-14,2026-07-15,BANCO DE CRÉDITO,112,4822134,10.73
2026-07-14,2026-07-15,BANCO DE LA NACIÓN ARGENTINA,8,9320,10.43
2026-07-14,2026-07-15,BANCO ECONÓMICO,39,2962605,10.72
2026-07-14,2026-07-15,BANCO FIE,26,2222232,10.80
2026-07-14,2026-07-15,BANCO FORTALEZA,3,50545,10.70
2026-07-14,2026-07-15,BANCO GANADERO,237,5196937,10.58
2026-07-14,2026-07-15,BANCO MERCANTIL SANTA CRUZ,163,14928796,10.81
2026-07-14,2026-07-15,BANCO NACIONAL DE BOLIVIA,177,392776,10.40
2026-07-14,2026-07-15,BANCO PRODEM,15,11639,10.40
2026-07-14,2026-07-15,BANCO PYME DE LA COMUNIDAD,4,2129,10.50
2026-07-14,2026-07-15,BANCO PYME ECOFUTURO,6,1146,10.10
2026-07-14,2026-07-15,BANCO SOLIDARIO,36,316661,10.52
2026-07-14,2026-07-15,BANCO UNION,137,104882,10.50
2026-07-14,2026-07-15,TOTAL BANCOS,1007,42988673,10.70
2026-07-15,2026-07-16,BANCO BISA,34,302164,10.71
2026-07-15,2026-07-16,BANCO DE CRÉDITO,105,3198820,10.84
2026-07-15,2026-07-16,BANCO DE LA NACIÓN ARGENTINA,11,89048,10.69
2026-07-15,2026-07-16,BANCO ECONÓMICO,39,457222,10.67
2026-07-15,2026-07-16,BANCO FIE,31,4732,10.60
2026-07-15,2026-07-16,BANCO FORTALEZA,6,654089,10.77
2026-07-15,2026-07-16,BANCO GANADERO,444,7088776,10.69
2026-07-15,2026-07-16,BANCO MERCANTIL SANTA CRUZ,208,934189,10.69
2026-07-15,2026-07-16,BANCO NACIONAL DE BOLIVIA,299,2835854,10.75
2026-07-15,2026-07-16,BANCO PRODEM,8,13772,10.60
2026-07-15,2026-07-16,BANCO PYME DE LA COMUNIDAD,5,1074,10.70
2026-07-15,2026-07-16,BANCO PYME ECOFUTURO,4,600,10.30
2026-07-15,2026-07-16,BANCO SOLIDARIO,48,2004616,10.90
2026-07-15,2026-07-16,BANCO UNION,210,543561,10.70
2026-07-15,2026-07-16,TOTAL BANCOS,1452,18128516,10.75
2026-07-17,2026-07-20,BANCO BISA,121,8439237,10.93
2026-07-17,2026-07-20,BANCO DE CRÉDITO,91,1705266,10.86
2026-07-17,2026-07-20,BANCO DE LA NACIÓN ARGENTINA,17,133165,10.74
2026-07-17,2026-07-20,BANCO ECONÓMICO,34,39890,10.75
2026-07-17,2026-07-20,BANCO FIE,24,5701,10.65
2026-07-17,2026-07-20,BANCO FORTALEZA,9,812621,10.80
2026-07-17,2026-07-20,BANCO GANADERO,258,10013630,10.88
2026-07-17,2026-07-20,BANCO MERCANTIL SANTA CRUZ,169,6464449,10.82
2026-07-17,2026-07-20,BANCO NACIONAL DE BOLIVIA,260,7903358,10.75
2026-07-17,2026-07-20,BANCO PRODEM,9,1485,10.65
2026-07-17,2026-07-20,BANCO PYME DE LA COMUNIDAD,3,1211,10.75
2026-07-17,2026-07-20,BANCO PYME ECOFUTURO,6,585421,11.13
2026-07-17,2026-07-20,BANCO SOLIDARIO,40,671115,10.99
2026-07-17,2026-07-20,BANCO UNION,218,1040058,10.75
2026-07-17,2026-07-20,TOTAL BANCOS,1259,37816606,10.85
2026-07-20,2026-07-21,BANCO BISA,46,6294201,10.94
2026-07-20,2026-07-21,BANCO DE CRÉDITO,104,1724580,10.90
2026-07-20,2026-07-21,BANCO DE LA NACIÓN ARGENTINA,35,2739,10.76
2026-07-20,2026-07-21,BANCO ECONÓMICO,29,65265,10.84
2026-07-20,2026-07-21,BANCO FIE,24,4003,10.75
2026-07-20,2026-07-21,BANCO FORTALEZA,12,63063,10.79
2026-07-20,2026-07-21,BANCO GANADERO,217,4292292,10.86
2026-07-20,2026-07-21,BANCO MERCANTIL SANTA CRUZ,154,1003630,10.85
2026-07-20,2026-07-21,BANCO NACIONAL DE BOLIVIA,222,263127,10.78
2026-07-20,2026-07-21,BANCO PRODEM,8,3923,10.75
2026-07-20,2026-07-21,BANCO PYME DE LA COMUNIDAD,5,457,10.85
2026-07-20,2026-07-21,BANCO PYME ECOFUTURO,6,6050,10.45
2026-07-20,2026-07-21,BANCO SOLIDARIO,51,695397,11.01
2026-07-20,2026-07-21,BANCO UNION,275,838491,10.90
2026-07-20,2026-07-21,TOTAL BANCOS,,,10.90
2026-07-21,2026-07-22,BANCO BISA,89,8519844,11.00
2026-07-21,2026-07-22,BANCO DE CRÉDITO,65,840759,11.06
2026-07-21,2026-07-22,BANCO DE LA NACIÓN ARGENTINA,20,55805,10.96
2026-07-21,2026-07-22,BANCO ECONÓMICO,35,10840,10.80
2026-07-21,2026-07-22,BANCO FIE,15,427580,10.90
2026-07-21,2026-07-22,BANCO FORTALEZA,8,101420,10.96
2026-07-21,2026-07-22,BANCO GANADERO,302,4328290,10.98
2026-07-21,2026-07-22,BANCO MERCANTIL SANTA CRUZ,138,664484,10.91
2026-07-21,2026-07-22,BANCO NACIONAL DE BOLIVIA,236,1157721,10.91
2026-07-21,2026-07-22,BANCO PRODEM,10,6503,10.80
2026-07-21,2026-07-22,BANCO PYME DE LA COMUNIDAD,11,1676,10.90
2026-07-21,2026-07-22,BANCO PYME ECOFUTURO,6,200187,10.90
2026-07-21,2026-07-22,BANCO SOLIDARIO,45,7887965,11.06
2026-07-21,2026-07-22,BANCO UNION,158,619773,10.90
2026-07-21,2026-07-22,TOTAL BANCOS,,,11.00
2026-07-22,2026-07-23,BANCO BISA,96,10191351,11.09
2026-07-22,2026-07-23,BANCO DE CRÉDITO,57,4166320,11.12
2026-07-22,2026-07-23,BANCO DE LA NACIÓN ARGENTINA,19,5106,10.92
2026-07-22,2026-07-23,BANCO ECONÓMICO,37,2129943,11.19
2026-07-22,2026-07-23,BANCO FIE,21,4591,10.90
2026-07-22,2026-07-23,BANCO FORTALEZA,10,104772,10.98
2026-07-22,2026-07-23,BANCO GANADERO,261,10339224,11.19
2026-07-22,2026-07-23,BANCO MERCANTIL SANTA CRUZ,313,3134714,11.11
2026-07-22,2026-07-23,BANCO NACIONAL DE BOLIVIA,263,6776276,11.09
2026-07-22,2026-07-23,BANCO PRODEM,8,12127,10.90
2026-07-22,2026-07-23,BANCO PYME DE LA COMUNIDAD,6,1178,11.00
2026-07-22,2026-07-23,BANCO PYME ECOFUTURO,5,1520,10.60
2026-07-22,2026-07-23,BANCO SOLIDARIO,39,1991354,11.24
2026-07-22,2026-07-23,BANCO UNION,81,179799,11.00
2026-07-22,2026-07-23,TOTAL BANCOS,1216,39038276,11.13
2026-07-23,2026-07-24,BANCO BISA,95,10524285,11.22
2026-07-23,2026-07-24,BANCO DE CRÉDITO,65,556143,11.18
2026-07-23,2026-07-24,BANCO DE LA NACIÓN ARGENTINA,17,20972,11.03
2026-07-23,2026-07-24,BANCO ECONÓMICO,35,443327,11.23
2026-07-23,2026-07-24,BANCO FIE,15,2814,11.03
2026-07-23,2026-07-24,BANCO FORTALEZA,8,546641,11.36
2026-07-23,2026-07-24,BANCO GANADERO,369,6866825,11.19
2026-07-23,2026-07-24,BANCO MERCANTIL SANTA CRUZ,196,3743530,11.27
2026-07-23,2026-07-24,BANCO NACIONAL DE BOLIVIA,220,3687810,11.11
2026-07-23,2026-07-24,BANCO PRODEM,10,103793,11.03
2026-07-23,2026-07-24,BANCO PYME DE LA COMUNIDAD,8,6085,11.13
2026-07-23,2026-07-24,BANCO PYME ECOFUTURO,3,470,10.73
2026-07-23,2026-07-24,BANCO SOLIDARIO,42,2006683,11.31
2026-07-23,2026-07-24,BANCO UNION,65,55282,11.13
2026-07-23,2026-07-24,TOTAL BANCOS,1148,28564660,11.21
2026-07-24,2026-07-27,BANCO BISA,102,12716265,11.38
2026-07-24,2026-07-27,BANCO DE CRÉDITO,57,4815867,11.56
2026-07-24,2026-07-27,BANCO DE LA NACIÓN ARGENTINA,35,7462,11.11
2026-07-24,2026-07-27,BANCO ECONÓMICO,32,1922257,11.50
2026-07-24,2026-07-27,BANCO FIE,16,3355,11.11
2026-07-24,2026-07-27,BANCO FORTALEZA,6,986507,11.33
2026-07-24,2026-07-27,BANCO GANADERO,280,9615144,11.38
2026-07-24,2026-07-27,BANCO MERCANTIL SANTA CRUZ,221,823926,11.06
2026-07-24,2026-07-27,BANCO NACIONAL DE BOLIVIA,264,6862876,11.19
2026-07-24,2026-07-27,BANCO PRODEM,15,2634,11.11
2026-07-24,2026-07-27,BANCO PYME DE LA COMUNIDAD,4,142044,11.21
2026-07-24,2026-07-27,BANCO PYME ECOFUTURO,7,2980,10.81
2026-07-24,2026-07-27,BANCO SOLIDARIO,41,460326,11.42
2026-07-24,2026-07-27,BANCO UNION,67,35890,11.21
2026-07-24,2026-07-27,TOTAL BANCOS,1147,38397534,11.37
2026-07-27,2026-07-28,BANCO BISA,53,3636725,11.54
2026-07-27,2026-07-28,BANCO DE CRÉDITO,69,4096951,11.74
2026-07-27,2026-07-28,BANCO DE LA NACIÓN ARGENTINA,36,12619,11.33
2026-07-27,2026-07-28,BANCO ECONÓMICO,39,3088493,11.45
2026-07-27,2026-07-28,BANCO FIE,19,46440,11.51
2026-07-27,2026-07-28,BANCO FORTALEZA,16,1067063,11.52
2026-07-27,2026-07-28,BANCO GANADERO,214,4163882,11.41
2026-07-27,2026-07-28,BANCO MERCANTIL SANTA CRUZ,239,3158392,11.55
2026-07-27,2026-07-28,BANCO NACIONAL DE BOLIVIA,255,507386,11.32
2026-07-27,2026-07-28,BANCO PRODEM,23,22014,11.27
2026-07-27,2026-07-28,BANCO PYME DE LA COMUNIDAD,5,5293,11.37
2026-07-27,2026-07-28,BANCO PYME ECOFUTURO,4,350,10.97
2026-07-27,2026-07-28,BANCO SOLIDARIO,38,1281388,11.54
2026-07-27,2026-07-28,BANCO UNION,59,53381,11.37
2026-07-27,2026-07-28,TOTAL BANCOS,1069,21140379,11.54
2026-07-28,2026-07-29,BANCO BISA,82,8944464,11.77
2026-07-28,2026-07-29,BANCO DE CRÉDITO,68,1318312,11.78
2026-07-28,2026-07-29,BANCO DE LA NACIÓN ARGENTINA,26,24807,11.51
2026-07-28,2026-07-29,BANCO ECONÓMICO,37,1863927,11.83
2026-07-28,2026-07-29,BANCO FIE,24,3025087,12.06
2026-07-28,2026-07-29,BANCO FORTALEZA,7,2000224,12.07
2026-07-28,2026-07-29,BANCO GANADERO,279,11345343,11.73
2026-07-28,2026-07-29,BANCO MERCANTIL SANTA CRUZ,207,4864421,11.91
2026-07-28,2026-07-29,BANCO NACIONAL DE BOLIVIA,264,2514828,11.55
2026-07-28,2026-07-29,BANCO PRODEM,16,5435,11.44
2026-07-28,2026-07-29,BANCO PYME DE LA COMUNIDAD,3,426,11.54
2026-07-28,2026-07-29,BANCO PYME ECOFUTURO,8,242466,11.39
2026-07-28,2026-07-29,BANCO SOLIDARIO,43,2661721,11.74
2026-07-28,2026-07-29,BANCO UNION,48,42014,11.54
2026-07-28,2026-07-29,TOTAL BANCOS,1112,38853476,11.80
2026-07-29,2026-07-30,BANCO BISA,71,8978675,12.01
2026-07-29,2026-07-30,BANCO DE CRÉDITO,91,9214129,11.93
2026-07-29,2026-07-30,BANCO DE LA NACIÓN ARGENTINA,19,126013,11.92
2026-07-29,2026-07-30,BANCO ECONÓMICO,51,1308703,11.96
2026-07-29,2026-07-30,BANCO FIE,27,3769,11.70
2026-07-29,2026-07-30,BANCO FORTALEZA,13,329802,11.82
2026-07-29,2026-07-30,BANCO GANADERO,368,3801257,11.82
2026-07-29,2026-07-30,BANCO MERCANTIL SANTA CRUZ,234,3788154,11.92
2026-07-29,2026-07-30,BANCO NACIONAL DE BOLIVIA,280,12769237,11.77
2026-07-29,2026-07-30,BANCO PRODEM,16,25950,11.70
2026-07-29,2026-07-30,BANCO PYME DE LA COMUNIDAD,6,6397,11.80
2026-07-29,2026-07-30,BANCO PYME ECOFUTURO,5,102330,11.40
2026-07-29,2026-07-30,BANCO SOLIDARIO,52,1091580,11.96
2026-07-29,2026-07-30,BANCO UNION,76,113341,11.80
2026-07-29,2026-07-30,TOTAL BANCOS,1309,41659337,11.89
2026-07-30,2026-07-31,BANCO BISA,74,13240160,12.16
2026-07-30,2026-07-31,BANCO DE CRÉDITO,88,7088267,12.24
2026-07-30,2026-07-31,BANCO DE LA NACIÓN ARGENTINA,31,17861,11.80
2026-07-30,2026-07-31,BANCO ECONÓMICO,48,155918,11.84
2026-07-30,2026-07-31,BANCO FIE,23,525380,12.04
2026-07-30,2026-07-31,BANCO FORTALEZA,13,1244318,12.33
2026-07-30,2026-07-31,BANCO GANADERO,396,11208390,12.15
2026-07-30,2026-07-31,BANCO MERCANTIL SANTA CRUZ,274,2275041,12.00
2026-07-30,2026-07-31,BANCO NACIONAL DE BOLIVIA,325,1483401,11.95
2026-07-30,2026-07-31,BANCO PRODEM,15,11361,11.79
2026-07-30,2026-07-31,BANCO PYME DE LA COMUNIDAD,11,5585,11.89
2026-07-30,2026-07-31,BANCO PYME ECOFUTURO,3,660,11.49
2026-07-30,2026-07-31,BANCO SOLIDARIO,49,556276,12.07
2026-07-30,2026-07-31,BANCO UNION,88,913229,12.09
2026-07-30,2026-07-31,TOTAL BANCOS,1438,38725847,12.15
2026-07-31,2026-08-03,BANCO BISA,60,7245017,12.19
2026-07-31,2026-08-03,BANCO DE CRÉDITO,104,2089165,12.18
2026-07-31,2026-08-03,BANCO DE LA NACIÓN ARGENTINA,38,111039,12.16
2026-07-31,2026-08-03,BANCO ECONÓMICO,146,2599071,12.05
2026-07-31,2026-08-03,BANCO FIE,33,551965,12.19
2026-07-31,2026-08-03,BANCO FORTALEZA,14,576982,12.11
2026-07-31,2026-08-03,BANCO GANADERO,370,9927452,12.08
2026-07-31,2026-08-03,BANCO MERCANTIL SANTA CRUZ,314,5698732,12.13
2026-07-31,2026-08-03,BANCO NACIONAL DE BOLIVIA,410,6795664,12.17
2026-07-31,2026-08-03,BANCO PRODEM,25,76628,12.05
2026-07-31,2026-08-03,BANCO PYME DE LA COMUNIDAD,14,26442,12.15
2026-07-31,2026-08-03,BANCO PYME ECOFUTURO,5,220289,12.10
2026-07-31,2026-08-03,BANCO SOLIDARIO,53,3173792,12.04
2026-07-31,2026-08-03,BANCO UNION,234,2070157,12.19
2026-07-31,2026-08-03,TOTAL BANCOS,1820,41162394,12.13
2026-08-03,2026-08-04,BANCO BISA,66,2841500,11.96
